name,rumah sakit onkologi,rsia pusura,rsu haji surabaya,rumah sakit universitas airlangga,rumah sakit darmo,rumah sakit jiwa menur provinsi jawa timur,rumah sakit khusus infeksi,ciputra hospital,rumah sakit katolik st. vincentius a paulo (rkz),rsia ferina surabaya,rumah sakit angkatan laut dr. ramelan,national hospital,rs dkt gubeng pojok,rumah sakit adi husada kapasan,rumah sakit surabaya medical center,rs mata undaan,rs ibu dan anak putri,rs manyar medical centre,rumah sakit adi husada undaan wetan,rumah sakit spesialis husada utama,rumah sakit pura raharja,siloam hospitals,rumah sakit mata undaan,rsia kendangsari merr,rsud dr.m.soewandhie,rumah sakit gotong royong,klinik estetika,rumah sakit mitra keluarga,rs kodam brawijaya,rumah sakit al irsyad,rumah sakit pku muhammadiyah surabaya,rumah sakit paru,rs orthopedi & traumatologi,rumah sakit marien,rumah sakit lombok dua dua,rumah sakit wijaya,rs marinir ewa pangalila,rumah sakit wiyung sejahtera,rumah sakit ibu dan anak ibi surabaya,rumah sakit upt vertikal surabaya,rsu bunda surabaya,rsia kendangsari,rumah sakit marinir ewa panggalila,rsud eka candrarini,rumah sakit royal surabaya,rsia graha medika,rumah sakit muji rahayu,rumah sakit islam surabaya,rsia cempaka putih permata,rsia lombok dua dua surabaya,rsu bhakti rahayu,rumah sakit mata masyarakat jawa timur,rsud dr. soetomo,rumah sakit william booth surabaya,rsau soemitro,rsud bhakti dharma husada,rumah sakit bhayangkara hs samsoeri mertojoso,waron hospital,rumah sakit islam darus syifa',rumah sakit islam jemursari surabaya,rumah sakit phc surabaya,rumah sakit mitra keluarga kenjeran,rs premier surabaya,mayapada hospital,rumah sakit universitas surabaya,rsgm nala husada,klinik gigi rkz,rs katolik vincentius a poli,klinik umum dan spesialis ciliwung 26,PT Mulya Husada Jaya
rumah sakit onkologi,0.0,8.815100000000001,2.0776999999999997,3.7324,8.9467,3.9215999999999998,3.754,20.398,8.512799999999999,6.4895,9.877799999999999,16.764599999999998,7.3763000000000005,9.533,6.6268,9.407,0.9336,3.2521999999999998,9.8542,7.5316,4.849399999999999,6.4082,9.472299999999999,5.4046,8.7784,4.1911000000000005,9.502799999999999,13.066,10.3463,12.136899999999999,11.932799999999999,11.4674,18.5461,14.9967,16.5054,15.2819,13.3073,15.9565,11.7755,11.9061,17.7321,8.742700000000001,13.1274,5.7471000000000005,11.1814,16.4741,16.3704,11.8742,14.1676,5.6861999999999995,12.507,12.5195,6.0935,8.5778,8.2349,20.8021,10.7675,5.373,22.1393,10.7815,14.3674,6.3286999999999995,6.2006000000000006,9.6822,5.6343000000000005,1.7372999999999998,8.9744,8.9274,8.856200000000001,9.057799999999999
rsia pusura,9.1074,0.0,7.7039,8.0382,4.4581,5.826,8.059800000000001,14.2597,4.0241,2.5471999999999997,6.948300000000001,10.6262,3.6904,5.8698999999999995,4.679399999999999,3.2167,8.479700000000001,6.3067,4.1277,4.0421,4.4829,2.4659,3.282,9.515600000000001,5.7452,11.3913,6.573300000000001,6.8582,6.7494,6.279100000000001,6.075,7.8043000000000005,12.4077,8.8583,10.367,10.7932,7.1689,11.4679,4.1531,4.2837,11.524299999999998,10.4191,6.989,12.537700000000001,10.5539,11.9855,10.162600000000001,8.9454,9.679,3.9996,8.1377,10.973700000000001,5.565300000000001,4.0892,4.652100000000001,14.5944,9.2217,6.2705,15.9315,10.1887,8.6647,9.825700000000001,9.5031,6.0853,10.392,9.7608,4.4858,4.4387,4.3675,10.1636
rsu haji surabaya,2.831,7.163600000000001,0.0,2.0809,7.2953,3.4879000000000002,2.1026,18.746599999999997,6.8613,4.838,9.4133,15.113100000000001,5.7249,7.8815,6.6107,7.7556,2.2033,3.6773000000000002,8.2028,5.8801000000000005,4.4157,4.7568,7.8209,3.7531999999999996,7.1269,4.990399999999999,9.0383,11.4145,8.6949,10.4854,10.2813,9.816,16.894599999999997,13.3452,14.8539,13.6304,11.6558,14.3051,10.124,10.2546,16.0807,8.6428,11.4759,6.546399999999999,13.0182,14.822700000000001,14.7189,11.4097,12.516200000000001,4.0347,12.0425,13.438,4.442,6.926399999999999,6.583399999999999,19.1507,11.686,3.7215,20.4878,12.653,12.7159,4.6773,6.8904,8.0307,6.4336,3.4844,7.323,7.2759,7.2047,8.957799999999999
rumah sakit universitas airlangga,3.8286,8.6577,2.4251,0.0,8.789299999999999,4.9818999999999996,0.3594,20.240599999999997,8.3553,6.332,10.9073,16.6071,5.601100000000001,7.0122,8.104800000000001,6.4387,3.2009000000000003,5.1713000000000005,8.188600000000001,5.998,5.9097,6.2508,6.504,2.8838000000000004,6.2576,5.988,10.5323,12.9085,10.1889,9.616100000000001,9.412,8.9467,18.3886,14.8392,16.3479,15.1244,13.149799999999999,15.799100000000001,10.1099,10.2405,17.5747,10.1368,12.969899999999999,7.544,14.5122,16.3167,16.2129,12.9037,14.010200000000001,5.5288,13.5365,14.9321,4.5599,8.420399999999999,8.077399999999999,20.6447,13.18,2.8522,21.9818,14.147,11.8466,3.8079,7.9975,9.524700000000001,7.4312,4.482,8.817,8.7699,8.6987,10.4519
rumah sakit darmo,7.624,2.9957,7.2508,8.3288,0.0,4.3449,8.3505,14.0953,1.342,2.9536,3.8803,10.4619,3.8404000000000003,7.073,1.3618,4.0789,6.9963,4.9861,4.9898,5.1754,3.3327,2.8723,4.1442,10.7188,6.948300000000001,8.3234,3.5053,7.7826,4.0436,7.3936,7.1896,9.0075,12.2433,8.694,10.2027,8.087399999999999,7.0046,8.7621,6.2692,6.3998,12.4487,7.351100000000001,6.8247,9.469700000000001,7.4859,9.2797,11.087,5.8774,6.973199999999999,2.7038,5.7935,7.9056999999999995,6.6985,1.3834000000000002,1.3345,15.518799999999999,6.1537,7.4037,16.855900000000002,7.1207,10.7808,11.0289,6.4351,3.3795,7.324,8.2774,1.78,1.7329,1.6617,7.0956
rumah sakit jiwa menur provinsi jawa timur,3.7334,5.4937,3.471,4.5491,5.6253,0.0,4.5706999999999995,17.0766,5.1914,3.1681,6.2741999999999996,13.443200000000001,4.0549,7.2876,3.8589,6.0857,3.1056999999999997,1.0955,6.5328,4.2218,1.2944,3.0868,6.1509,6.2213,7.1629,6.15,5.8991999999999996,9.7446,7.0249,8.8505,8.6464,9.222,15.2247,11.6753,13.184,11.9605,9.985899999999999,12.6351,8.4541,8.584700000000002,14.4107,6.061,9.806,7.3431999999999995,8.499600000000001,13.1528,13.049,8.2706,10.2766,2.3648000000000002,8.3917,10.299,2.7836999999999996,5.256399999999999,4.0576,17.4808,8.547,5.0823,18.8179,8.0997,12.122,7.1453999999999995,4.3086,6.3608,5.1975,4.3868,5.653,5.606,5.534800000000001,6.376
rumah sakit khusus infeksi,3.9132,8.7422,2.5096999999999996,0.2559,8.8738,5.0665,0.0,20.3251,8.4399,6.416600000000001,10.9919,16.6917,5.6857,7.0967,8.1893,6.5233,3.2854,5.2559,8.273200000000001,6.0826,5.9943,6.3354,6.5886000000000005,2.9684,6.3421,6.0726,10.6169,12.9931,10.2735,9.700700000000001,9.4966,9.0312,18.473200000000002,14.9238,16.4325,15.209,13.234399999999999,15.883700000000001,10.1944,10.3251,17.659200000000002,10.2213,13.0545,7.6286000000000005,14.5968,16.4013,16.2975,12.988299999999999,14.0948,5.613300000000001,13.6211,15.0166,4.6445,8.5049,8.162,20.7293,13.2646,2.9368000000000003,22.0664,14.2316,11.9312,3.8925,8.0821,9.6093,7.5158000000000005,4.5666,8.9016,8.8545,8.783299999999999,10.5364
ciputra hospital,19.7664,14.4133,20.4142,21.4923,13.2828,16.487299999999998,21.513900000000003,0.0,12.9487,16.117,15.386700000000001,7.2315,17.0039,20.2365,13.5042,15.8194,19.1386,17.1285,16.730400000000003,18.4582,15.475100000000001,16.0358,15.8847,23.8822,20.1118,19.8297,15.0116,8.904,13.084200000000001,18.881700000000002,18.6777,20.341,4.5246,7.218100000000001,4.2679,9.9815,11.6395,9.670399999999999,16.683,16.886400000000002,7.3532,18.8575,11.4596,20.976,18.9922,10.6403,9.418700000000001,17.3837,15.5901,15.8672,14.0488,19.4121,19.3342,13.5719,13.481,6.0965,17.6601,20.6866,9.905899999999999,18.627,19.7297,24.192400000000003,17.9415,11.3988,18.8304,20.4198,12.481399999999999,12.8369,12.5997,18.602
rumah sakit katolik st. vincentius a paulo (rkz),7.1772,4.2267,7.825,8.9031,0.6937000000000001,3.8981999999999997,8.924700000000001,13.036700000000002,0.0,3.5278,3.1839,9.4033,4.4147,7.6473,0.915,5.6328000000000005,6.5495,4.5393,6.5438,5.869,2.886,3.4466,5.6981,11.2931,7.522600000000001,7.627,2.8089,7.0359,2.009,8.6951,8.491100000000001,9.5818,11.184700000000001,7.6354,9.1441,6.4123,5.9459,7.087,6.4103,6.6998,11.7021,6.6547,5.766,8.773299999999999,6.7895,7.6046000000000005,10.340399999999999,5.181,5.298100000000001,3.2781,3.7568,7.2093,6.745,0.32480000000000003,0.8877,14.7721,5.4573,8.8991,16.109299999999998,6.424300000000001,12.197899999999999,11.603200000000001,5.7387,2.3209,6.6276,7.8306000000000004,0.7213999999999999,0.6742999999999999,0.6031,6.3991999999999996
rsia ferina surabaya,6.8213,3.4835,5.417800000000001,6.4959,3.5921999999999996,3.5398,6.5175,15.0435,3.1583,0.0,5.4262,11.4101,2.0074,5.2401,2.9076999999999997,4.0382,6.1935,4.0205,4.4853000000000005,3.9276999999999997,2.8015,0.1085,4.1034,8.8858,5.115399999999999,8.9807,5.0512,7.7344,4.9918000000000005,6.803,6.5988999999999995,7.1745,13.1915,9.6422,11.150799999999998,9.927299999999999,7.9527,10.602,6.4066,6.5371999999999995,12.4005,8.897,7.7728,10.2682,9.0317,11.1196,11.038799999999998,7.4233,8.8131,1.7135,7.3393999999999995,9.451600000000001,4.3378000000000005,3.2233,2.8804000000000003,15.4705,7.6996,6.156,16.8077,8.6665,10.0745,9.196,7.2336,4.3277,8.1225,7.474600000000001,3.6199,3.5729,3.5016,8.6415
